run_id,map_name,scenario_name,player_count,enemy_count,time_to_first_contact,player_survival_time,route_completed,shots_fired,shots_hit,shots_blocked,player_deaths,enemy_deaths,player_stuck_events,enemy_stuck_events,end_reason,duration_seconds,score,grade
1,level.tscn,default_laser_tag_scenario.tres,1,6,1.53,18.53,false,16,7,5,1,1,2,2,TEAM_WIPE,18.53,45,FAIL
2,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,21.00,false,18,8,6,1,1,2,2,TEAM_WIPE,21.00,45,FAIL
3,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,17.27,false,16,8,8,1,1,2,2,TEAM_WIPE,17.27,45,FAIL
4,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,6.73,false,13,6,7,1,0,0,0,TEAM_WIPE,6.73,45,FAIL
5,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,17.07,false,16,7,8,1,1,2,2,TEAM_WIPE,17.07,45,FAIL
6,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,6.87,false,13,6,7,1,0,0,0,TEAM_WIPE,6.87,45,FAIL
7,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,6.87,false,13,5,8,1,0,0,0,TEAM_WIPE,6.87,45,FAIL
8,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,6.73,false,13,6,7,1,0,0,0,TEAM_WIPE,6.73,45,FAIL
9,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,19.67,false,17,7,9,1,1,2,2,TEAM_WIPE,19.67,45,FAIL
10,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,18.40,false,17,8,7,1,1,2,2,TEAM_WIPE,18.40,45,FAIL
11,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,18.40,false,17,7,8,1,1,2,2,TEAM_WIPE,18.40,45,FAIL
12,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,20.93,false,17,7,7,1,1,2,2,TEAM_WIPE,20.93,45,FAIL
13,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,22.47,false,20,9,9,1,2,2,2,TEAM_WIPE,22.47,45,FAIL
14,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,17.13,false,16,7,9,1,1,2,2,TEAM_WIPE,17.13,45,FAIL
15,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,20.93,false,16,8,6,1,1,2,2,TEAM_WIPE,20.93,45,FAIL
16,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,18.40,false,16,8,7,1,1,2,2,TEAM_WIPE,18.40,45,FAIL
17,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,17.27,false,17,7,9,1,1,2,2,TEAM_WIPE,17.27,45,FAIL
18,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,20.93,false,16,8,6,1,1,2,2,TEAM_WIPE,20.93,45,FAIL
19,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,6.87,false,13,6,7,1,0,0,0,TEAM_WIPE,6.87,45,FAIL
20,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,6.87,false,13,6,7,1,0,0,0,TEAM_WIPE,6.87,45,FAIL
21,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,17.07,false,16,7,7,1,1,2,2,TEAM_WIPE,17.07,45,FAIL
22,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,18.40,false,16,8,7,1,1,2,2,TEAM_WIPE,18.40,45,FAIL
23,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,6.87,false,13,6,7,1,0,0,0,TEAM_WIPE,6.87,45,FAIL
24,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,6.80,false,13,6,7,1,0,0,0,TEAM_WIPE,6.80,45,FAIL
25,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,17.27,false,16,7,8,1,1,2,2,TEAM_WIPE,17.27,45,FAIL
