run_id,map_name,scenario_name,player_count,enemy_count,time_to_first_contact,player_survival_time,route_completed,shots_fired,shots_hit,shots_blocked,player_deaths,enemy_deaths,player_stuck_events,enemy_stuck_events,end_reason,duration_seconds,score,grade
1,level.tscn,default_laser_tag_scenario.tres,1,6,9.13,22.47,false,17,8,8,1,1,2,3,TEAM_WIPE,22.47,45,FAIL
2,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,19.67,false,15,7,7,1,0,2,3,TEAM_WIPE,19.67,45,FAIL
3,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,19.60,false,15,6,9,1,0,2,3,TEAM_WIPE,19.60,45,FAIL
4,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,19.80,false,15,7,5,1,0,2,3,TEAM_WIPE,19.80,45,FAIL
5,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,19.80,false,15,7,5,1,0,2,3,TEAM_WIPE,19.80,45,FAIL
6,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,19.73,false,15,7,7,1,0,2,3,TEAM_WIPE,19.73,45,FAIL
7,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,21.13,false,17,8,5,1,1,2,3,TEAM_WIPE,21.13,45,FAIL
8,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,19.73,false,15,6,8,1,0,2,3,TEAM_WIPE,19.73,45,FAIL
9,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,19.60,false,15,6,8,1,0,2,3,TEAM_WIPE,19.60,45,FAIL
10,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,19.60,false,15,7,5,1,0,2,3,TEAM_WIPE,19.60,45,FAIL
11,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,19.67,false,15,7,6,1,0,2,3,TEAM_WIPE,19.67,45,FAIL
12,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,19.67,false,15,7,4,1,0,2,3,TEAM_WIPE,19.67,45,FAIL
13,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,19.60,false,15,6,8,1,0,2,3,TEAM_WIPE,19.60,45,FAIL
14,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,22.40,false,18,8,8,1,1,2,3,TEAM_WIPE,22.40,45,FAIL
15,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,19.73,false,15,6,5,1,0,2,3,TEAM_WIPE,19.73,45,FAIL
16,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,23.67,false,19,9,7,1,1,2,3,TEAM_WIPE,23.67,45,FAIL
17,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,19.67,false,15,6,7,1,0,2,3,TEAM_WIPE,19.67,45,FAIL
18,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,21.13,false,17,8,8,1,1,2,3,TEAM_WIPE,21.13,45,FAIL
19,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,19.60,false,15,6,7,1,0,2,3,TEAM_WIPE,19.60,45,FAIL
20,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,19.67,false,15,5,9,1,0,2,3,TEAM_WIPE,19.67,45,FAIL
21,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,19.80,false,15,6,7,1,0,2,3,TEAM_WIPE,19.80,45,FAIL
22,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,19.60,false,15,5,9,1,0,2,3,TEAM_WIPE,19.60,45,FAIL
23,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,19.73,false,15,5,10,1,0,2,3,TEAM_WIPE,19.73,45,FAIL
24,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,19.60,false,15,5,8,1,0,2,3,TEAM_WIPE,19.60,45,FAIL
25,level.tscn,default_laser_tag_scenario.tres,1,6,0.00,21.20,false,17,9,6,1,1,2,3,TEAM_WIPE,21.20,45,FAIL
