run_id,map_name,scenario_name,player_count,enemy_count,time_to_first_contact,player_survival_time,route_completed,shots_fired,shots_hit,shots_blocked,player_deaths,enemy_deaths,player_stuck_events,enemy_stuck_events,end_reason,duration_seconds,score,grade
1,level.tscn,mission_scenario.tres,4,6,1.47,9.20,false,51,30,16,3,3,46,3,TIMEOUT,180.07,45,FAIL
2,level.tscn,mission_scenario.tres,4,6,1.47,8.60,false,55,36,11,4,2,6,1,TEAM_WIPE,30.00,45,FAIL
3,level.tscn,mission_scenario.tres,4,6,0.00,15.33,false,175,146,28,2,4,86,1,TIMEOUT,180.07,45,FAIL
4,level.tscn,mission_scenario.tres,4,6,1.47,9.20,false,47,22,18,3,1,46,4,TIMEOUT,180.07,45,FAIL
5,level.tscn,mission_scenario.tres,4,6,1.47,11.40,false,51,25,24,3,3,45,3,TIMEOUT,180.07,45,FAIL
6,level.tscn,mission_scenario.tres,4,6,1.47,13.60,false,59,31,23,3,4,45,2,TIMEOUT,180.07,45,FAIL
7,level.tscn,mission_scenario.tres,4,6,1.47,13.87,false,55,22,29,2,5,85,1,TIMEOUT,180.07,45,FAIL
8,level.tscn,mission_scenario.tres,4,6,1.47,8.13,false,53,28,22,3,4,44,2,TIMEOUT,180.07,45,FAIL
9,level.tscn,mission_scenario.tres,4,6,1.47,8.60,false,53,30,14,3,4,45,2,TIMEOUT,180.07,45,FAIL
10,level.tscn,mission_scenario.tres,4,6,1.47,18.47,false,35,17,14,1,4,124,2,TIMEOUT,180.07,45,FAIL
11,level.tscn,mission_scenario.tres,4,6,1.47,12.53,false,49,22,23,3,2,45,4,TIMEOUT,180.07,45,FAIL
12,level.tscn,mission_scenario.tres,4,6,1.47,12.80,false,61,31,27,4,3,7,1,TEAM_WIPE,29.20,45,FAIL
13,level.tscn,mission_scenario.tres,4,6,0.00,18.13,false,52,27,20,2,6,6,0,ENEMIES_CLEARED,26.60,45,FAIL
14,level.tscn,mission_scenario.tres,4,6,1.47,9.27,false,48,30,16,3,3,46,2,TIMEOUT,180.07,45,FAIL
15,level.tscn,mission_scenario.tres,4,6,1.47,12.67,false,178,149,24,2,4,85,1,TIMEOUT,180.07,45,FAIL
16,level.tscn,mission_scenario.tres,4,6,1.47,11.47,false,47,22,19,3,3,45,3,TIMEOUT,180.07,45,FAIL
17,level.tscn,mission_scenario.tres,4,6,1.47,9.27,false,54,37,14,3,4,45,2,TIMEOUT,180.07,45,FAIL
18,level.tscn,mission_scenario.tres,4,6,1.47,18.13,false,38,19,15,1,5,124,1,TIMEOUT,180.07,45,FAIL
19,level.tscn,mission_scenario.tres,4,6,1.47,9.47,false,52,29,18,3,4,45,2,TIMEOUT,180.07,45,FAIL
20,level.tscn,mission_scenario.tres,4,6,1.47,16.53,false,66,33,27,3,4,45,2,TIMEOUT,180.07,45,FAIL
21,level.tscn,mission_scenario.tres,4,6,1.47,13.60,false,47,22,24,2,4,84,2,TIMEOUT,180.07,45,FAIL
22,level.tscn,mission_scenario.tres,4,6,1.47,11.47,false,47,24,18,3,3,45,3,TIMEOUT,180.07,45,FAIL
23,level.tscn,mission_scenario.tres,4,6,1.47,11.33,false,46,26,16,2,6,6,0,ENEMIES_CLEARED,26.47,45,FAIL
24,level.tscn,mission_scenario.tres,4,6,1.47,9.00,false,50,26,18,3,2,45,3,TIMEOUT,180.07,45,FAIL
25,level.tscn,mission_scenario.tres,4,6,1.47,8.60,false,53,30,14,3,4,45,2,TIMEOUT,180.07,45,FAIL
